vaccine,activity_type,country_code,country,year,age_first,age_last,target,coverage,gender,proportion_risk
HPV,routine,AUS,Australia,2006,14,14,<NA>,0,female,1
HPV,routine,AUS,Australia,2007,14,14,<NA>,0.72,female,1
HPV,routine,AUS,Australia,2008,14,14,<NA>,0.74,female,1
HPV,routine,AUS,Australia,2009,14,14,<NA>,0.74,female,1
HPV,routine,AUS,Australia,2010,14,14,<NA>,0.74,female,1
HPV,routine,AUS,Australia,2011,14,14,<NA>,0.71,female,1
HPV,routine,AUS,Australia,2012,14,14,<NA>,0.72,female,1
HPV,routine,AUS,Australia,2013,14,14,<NA>,0.72,female,1
HPV,routine,AUS,Australia,2014,14,14,<NA>,0.75,female,1
HPV,routine,AUS,Australia,2015,14,14,<NA>,0.79,female,1
HPV,routine,AUS,Australia,2016,14,14,<NA>,0.8,female,1
HPV,routine,AUS,Australia,2017,14,14,<NA>,0.8,female,1
HPV,routine,AUS,Australia,2018,14,14,<NA>,0.77,female,1
HPV,routine,AUS,Australia,2019,14,14,<NA>,0.8,female,1
HPV,routine,AUS,Australia,2020,14,14,<NA>,0.8,female,1
HPV,routine,AUS,Australia,2021,14,14,<NA>,0.8,female,1
HPV,routine,AUS,Australia,2022,14,14,<NA>,0.8,female,1
HPV,routine,AUS,Australia,2023,14,14,<NA>,0.86,female,1
HPV,routine,AUS,Australia,2024,14,14,<NA>,0.83,female,1
HPV,routine,AUT,Austria,2006,14,14,<NA>,0,female,1
HPV,routine,AUT,Austria,2007,14,14,<NA>,0,female,1
HPV,routine,AUT,Austria,2008,14,14,<NA>,0,female,1
HPV,routine,AUT,Austria,2009,14,14,<NA>,0,female,1
HPV,routine,AUT,Austria,2010,14,14,<NA>,0,female,1
HPV,routine,AUT,Austria,2011,14,14,<NA>,0,female,1
HPV,routine,AUT,Austria,2012,14,14,<NA>,0,female,1
HPV,routine,AUT,Austria,2013,14,14,<NA>,0,female,1
HPV,routine,AUT,Austria,2014,14,14,<NA>,0,female,1
HPV,routine,AUT,Austria,2015,14,14,<NA>,0.02,female,1
HPV,routine,AUT,Austria,2016,14,14,<NA>,0.05,female,1
HPV,routine,AUT,Austria,2017,14,14,<NA>,0.12,female,1
HPV,routine,AUT,Austria,2018,14,14,<NA>,0.19,female,1
HPV,routine,AUT,Austria,2019,14,14,<NA>,0.37,female,1
HPV,routine,AUT,Austria,2020,14,14,<NA>,0.51,female,1
HPV,routine,AUT,Austria,2021,14,14,<NA>,0.54,female,1
HPV,routine,AUT,Austria,2022,14,14,<NA>,0.57,female,1
HPV,routine,AUT,Austria,2023,14,14,<NA>,0.65,female,1
HPV,routine,AUT,Austria,2024,14,14,<NA>,0.63,female,1
HPV,routine,BHS,Bahamas,2006,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2007,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2008,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2009,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2010,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2011,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2012,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2013,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2014,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2015,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2016,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2017,14,14,<NA>,0,female,1
HPV,routine,BHS,Bahamas,2018,14,14,<NA>,0.06,female,1
HPV,routine,BHS,Bahamas,2019,14,14,<NA>,0.09,female,1
HPV,routine,BHS,Bahamas,2020,14,14,<NA>,0.11,female,1
HPV,routine,BHS,Bahamas,2021,14,14,<NA>,0.27,female,1
HPV,routine,BHS,Bahamas,2022,14,14,<NA>,0.09,female,1
HPV,routine,BHS,Bahamas,2023,14,14,<NA>,0.07,female,1
HPV,routine,BHS,Bahamas,2024,14,14,<NA>,0.03,female,1
HPV,routine,BGD,Bangladesh,2006,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2007,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2008,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2009,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2010,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2011,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2012,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2013,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2014,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2015,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2016,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2017,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2018,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2019,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2020,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2021,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2022,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2023,14,14,<NA>,0,female,1
HPV,routine,BGD,Bangladesh,2024,14,14,<NA>,0.15,female,1
HPV,routine,BRB,Barbados,2006,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2007,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2008,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2009,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2010,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2011,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2012,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2013,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2014,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2015,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2016,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2017,14,14,<NA>,0,female,1
HPV,routine,BRB,Barbados,2018,14,14,<NA>,0.08,female,1
HPV,routine,BRB,Barbados,2019,14,14,<NA>,0.31,female,1
HPV,routine,BRB,Barbados,2020,14,14,<NA>,0.16,female,1
HPV,routine,BRB,Barbados,2021,14,14,<NA>,0.16,female,1
HPV,routine,BRB,Barbados,2022,14,14,<NA>,0.27,female,1
HPV,routine,BRB,Barbados,2023,14,14,<NA>,0.29,female,1
HPV,routine,BRB,Barbados,2024,14,14,<NA>,0.07,female,1
HPV,routine,BEL,Belgium,2006,14,14,<NA>,0,female,1
HPV,routine,BEL,Belgium,2007,14,14,<NA>,0,female,1
HPV,routine,BEL,Belgium,2008,14,14,<NA>,0.44,female,1
HPV,routine,BEL,Belgium,2009,14,14,<NA>,0.4775,female,1
HPV,routine,BEL,Belgium,2010,14,14,<NA>,0.515,female,1
HPV,routine,BEL,Belgium,2011,14,14,<NA>,0.5525,female,1
HPV,routine,BEL,Belgium,2012,14,14,<NA>,0.59,female,1
HPV,routine,BEL,Belgium,2013,14,14,<NA>,0.61,female,1
HPV,routine,BEL,Belgium,2014,14,14,<NA>,0.62,female,1
HPV,routine,BEL,Belgium,2015,14,14,<NA>,0.64,female,1
HPV,routine,BEL,Belgium,2016,14,14,<NA>,0.65,female,1
HPV,routine,BEL,Belgium,2017,14,14,<NA>,0.66,female,1
HPV,routine,BEL,Belgium,2018,14,14,<NA>,0.67,female,1
HPV,routine,BEL,Belgium,2019,14,14,<NA>,0.68,female,1
HPV,routine,BEL,Belgium,2020,14,14,<NA>,0.69,female,1
HPV,routine,BEL,Belgium,2021,14,14,<NA>,0.69,female,1
HPV,routine,BEL,Belgium,2022,14,14,<NA>,0.69,female,1
HPV,routine,BEL,Belgium,2023,14,14,<NA>,0.72,female,1
HPV,routine,BEL,Belgium,2024,14,14,<NA>,0.72,female,1
HPV,routine,BLZ,Belize,2006,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2007,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2008,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2009,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2010,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2011,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2012,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2013,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2014,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2015,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2016,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2017,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2018,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2019,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2020,14,14,<NA>,0,female,1
HPV,routine,BLZ,Belize,2021,14,14,<NA>,0.25,female,1
HPV,routine,BLZ,Belize,2022,14,14,<NA>,0.59,female,1
HPV,routine,BLZ,Belize,2023,14,14,<NA>,0.6,female,1
HPV,routine,BLZ,Belize,2024,14,14,<NA>,0.67,female,1
HPV,routine,BTN,Bhutan,2006,14,14,<NA>,0,female,1
HPV,routine,BTN,Bhutan,2007,14,14,<NA>,0,female,1
HPV,routine,BTN,Bhutan,2008,14,14,<NA>,0,female,1
HPV,routine,BTN,Bhutan,2009,14,14,<NA>,0,female,1
HPV,routine,BTN,Bhutan,2010,14,14,<NA>,0,female,1
HPV,routine,BTN,Bhutan,2011,14,14,<NA>,0.9,female,1
HPV,routine,BTN,Bhutan,2012,14,14,<NA>,0.9,female,1
HPV,routine,BTN,Bhutan,2013,14,14,<NA>,0.97,female,1
HPV,routine,BTN,Bhutan,2014,14,14,<NA>,0.75,female,1
HPV,routine,BTN,Bhutan,2015,14,14,<NA>,0.77,female,1
HPV,routine,BTN,Bhutan,2016,14,14,<NA>,0.68,female,1
HPV,routine,BTN,Bhutan,2017,14,14,<NA>,0.94,female,1
HPV,routine,BTN,Bhutan,2018,14,14,<NA>,0.94,female,1
HPV,routine,BTN,Bhutan,2019,14,14,<NA>,0.96,female,1
HPV,routine,BTN,Bhutan,2020,14,14,<NA>,0.94,female,1
HPV,routine,BTN,Bhutan,2021,14,14,<NA>,0.95,female,1
HPV,routine,BTN,Bhutan,2022,14,14,<NA>,0.75,female,1
HPV,routine,BTN,Bhutan,2023,14,14,<NA>,0.85,female,1
HPV,routine,BTN,Bhutan,2024,14,14,<NA>,0.92,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2006,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2007,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2008,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2009,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2010,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2011,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2012,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2013,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2014,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2015,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2016,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2017,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2018,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2019,14,14,<NA>,0,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2020,14,14,<NA>,0.69,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2021,14,14,<NA>,0.73,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2022,14,14,<NA>,0.7,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2023,14,14,<NA>,0.69,female,1
HPV,routine,BOL,Bolivia (Plurinational State of),2024,14,14,<NA>,0.69,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2006,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2007,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2008,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2009,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2010,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2011,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2012,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2013,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2014,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2015,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2016,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2017,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2018,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2019,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2020,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2021,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2022,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2023,14,14,<NA>,0,female,1
HPV,routine,BIH,Bosnia and Herzegovina,2024,14,14,<NA>,0.05,female,1
HPV,routine,BWA,Botswana,2006,14,14,<NA>,0,female,1
HPV,routine,BWA,Botswana,2007,14,14,<NA>,0,female,1
HPV,routine,BWA,Botswana,2008,14,14,<NA>,0,female,1
HPV,routine,BWA,Botswana,2009,14,14,<NA>,0,female,1
HPV,routine,BWA,Botswana,2010,14,14,<NA>,0,female,1
HPV,routine,BWA,Botswana,2011,14,14,<NA>,0,female,1
HPV,routine,BWA,Botswana,2012,14,14,<NA>,0,female,1
HPV,routine,BWA,Botswana,2013,14,14,<NA>,0,female,1
HPV,routine,BWA,Botswana,2014,14,14,<NA>,0,female,1
HPV,routine,BWA,Botswana,2015,14,14,<NA>,0,female,1
HPV,routine,BWA,Botswana,2016,14,14,<NA>,0.17,female,1
HPV,routine,BWA,Botswana,2017,14,14,<NA>,0.44,female,1
HPV,routine,BWA,Botswana,2018,14,14,<NA>,0.73,female,1
HPV,routine,BWA,Botswana,2019,14,14,<NA>,0.8,female,1
HPV,routine,BWA,Botswana,2020,14,14,<NA>,0.78,female,1
HPV,routine,BWA,Botswana,2021,14,14,<NA>,0.69,female,1
HPV,routine,BWA,Botswana,2022,14,14,<NA>,0.22,female,1
HPV,routine,BWA,Botswana,2023,14,14,<NA>,0.28,female,1
HPV,routine,BWA,Botswana,2024,14,14,<NA>,0.16,female,1
HPV,routine,BRA,Brazil,2006,14,14,<NA>,0,female,1
HPV,routine,BRA,Brazil,2007,14,14,<NA>,0,female,1
HPV,routine,BRA,Brazil,2008,14,14,<NA>,0,female,1
HPV,routine,BRA,Brazil,2009,14,14,<NA>,0,female,1
HPV,routine,BRA,Brazil,2010,14,14,<NA>,0,female,1
HPV,routine,BRA,Brazil,2011,14,14,<NA>,0,female,1
HPV,routine,BRA,Brazil,2012,14,14,<NA>,0,female,1
HPV,routine,BRA,Brazil,2013,14,14,<NA>,0,female,1
HPV,routine,BRA,Brazil,2014,14,14,<NA>,0,female,1
HPV,routine,BRA,Brazil,2015,14,14,<NA>,0,female,1
HPV,routine,BRA,Brazil,2016,14,14,<NA>,0.68,female,1
HPV,routine,BRA,Brazil,2017,14,14,<NA>,0.77,female,1
HPV,routine,BRA,Brazil,2018,14,14,<NA>,0.64,female,1
HPV,routine,BRA,Brazil,2019,14,14,<NA>,0.67,female,1
HPV,routine,BRA,Brazil,2020,14,14,<NA>,0.68,female,1
HPV,routine,BRA,Brazil,2021,14,14,<NA>,0.65,female,1
HPV,routine,BRA,Brazil,2022,14,14,<NA>,0.72,female,1
HPV,routine,BRA,Brazil,2023,14,14,<NA>,0.76,female,1
HPV,routine,BRA,Brazil,2024,14,14,<NA>,0.75,female,1
HPV,routine,BRN,Brunei Darussalam,2006,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2007,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2008,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2009,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2010,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2011,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2012,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2013,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2014,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2015,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2016,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2017,14,14,<NA>,0,female,1
HPV,routine,BRN,Brunei Darussalam,2018,14,14,<NA>,0.85,female,1
HPV,routine,BRN,Brunei Darussalam,2019,14,14,<NA>,0.86,female,1
HPV,routine,BRN,Brunei Darussalam,2020,14,14,<NA>,0.88,female,1
HPV,routine,BRN,Brunei Darussalam,2021,14,14,<NA>,0.9,female,1
HPV,routine,BRN,Brunei Darussalam,2022,14,14,<NA>,0.86,female,1
HPV,routine,BRN,Brunei Darussalam,2023,14,14,<NA>,0.9,female,1
HPV,routine,BRN,Brunei Darussalam,2024,14,14,<NA>,0.88,female,1
HPV,routine,BGR,Bulgaria,2006,14,14,<NA>,0,female,1
HPV,routine,BGR,Bulgaria,2007,14,14,<NA>,0,female,1
HPV,routine,BGR,Bulgaria,2008,14,14,<NA>,0,female,1
HPV,routine,BGR,Bulgaria,2009,14,14,<NA>,0,female,1
HPV,routine,BGR,Bulgaria,2010,14,14,<NA>,0,female,1
HPV,routine,BGR,Bulgaria,2011,14,14,<NA>,0,female,1
HPV,routine,BGR,Bulgaria,2012,14,14,<NA>,0,female,1
HPV,routine,BGR,Bulgaria,2013,14,14,<NA>,0,female,1
HPV,routine,BGR,Bulgaria,2014,14,14,<NA>,0,female,1
HPV,routine,BGR,Bulgaria,2015,14,14,<NA>,0,female,1
HPV,routine,BGR,Bulgaria,2016,14,14,<NA>,0.21,female,1
HPV,routine,BGR,Bulgaria,2017,14,14,<NA>,0.15,female,1
HPV,routine,BGR,Bulgaria,2018,14,14,<NA>,0.09,female,1
HPV,routine,BGR,Bulgaria,2019,14,14,<NA>,0.07,female,1
HPV,routine,BGR,Bulgaria,2020,14,14,<NA>,0.09,female,1
HPV,routine,BGR,Bulgaria,2021,14,14,<NA>,0.09,female,1
HPV,routine,BGR,Bulgaria,2022,14,14,<NA>,0.08,female,1
HPV,routine,BGR,Bulgaria,2023,14,14,<NA>,0.07,female,1
HPV,routine,BGR,Bulgaria,2024,14,14,<NA>,0.03,female,1
HPV,routine,CAN,Canada,2006,14,14,<NA>,0,female,1
HPV,routine,CAN,Canada,2007,14,14,<NA>,0,female,1
HPV,routine,CAN,Canada,2008,14,14,<NA>,0,female,1
HPV,routine,CAN,Canada,2009,14,14,<NA>,0,female,1
HPV,routine,CAN,Canada,2010,14,14,<NA>,0,female,1
HPV,routine,CAN,Canada,2011,14,14,<NA>,0,female,1
HPV,routine,CAN,Canada,2012,14,14,<NA>,0,female,1
HPV,routine,CAN,Canada,2013,14,14,<NA>,0.73,female,1
HPV,routine,CAN,Canada,2014,14,14,<NA>,0.74,female,1
HPV,routine,CAN,Canada,2015,14,14,<NA>,0.75,female,1
HPV,routine,CAN,Canada,2016,14,14,<NA>,0.79,female,1
HPV,routine,CAN,Canada,2017,14,14,<NA>,0.83,female,1
HPV,routine,CAN,Canada,2018,14,14,<NA>,0.83,female,1
HPV,routine,CAN,Canada,2019,14,14,<NA>,0.83,female,1
HPV,routine,CAN,Canada,2020,14,14,<NA>,0.87,female,1
HPV,routine,CAN,Canada,2021,14,14,<NA>,0.87,female,1
HPV,routine,CAN,Canada,2022,14,14,<NA>,0.86,female,1
HPV,routine,CAN,Canada,2023,14,14,<NA>,0.86,female,1
HPV,routine,CAN,Canada,2024,14,14,<NA>,0.86,female,1
HPV,routine,CHL,Chile,2006,14,14,<NA>,0,female,1
HPV,routine,CHL,Chile,2007,14,14,<NA>,0,female,1
HPV,routine,CHL,Chile,2008,14,14,<NA>,0,female,1
HPV,routine,CHL,Chile,2009,14,14,<NA>,0,female,1
